ANTENNA "BRUC0030"
LOCATION 670739.820 7803701.130 44.000
FREQUENCY 2600.000
POWER 23.000 W  EIRP
ANTENNATYPE ISO
LOWER_LEFT 664740.00000000 7799900.00000000
UPPER_RIGHT 672760.00000000 7805400.00000000
HEIGHT 1.500 
RESOLUTION 20.00000000
RECEIVER_GAIN 0.000

BEGIN_DATA
664750.00000 7802870.00000 -193.7296
664750.00000 7802890.00000 -193.7669
664750.00000 7802910.00000 -193.7967
664750.00000 7802930.00000 -193.8217
664750.00000 7802950.00000 -193.8632
664750.00000 7802970.00000 -193.9103
664750.00000 7802990.00000 -193.9518
664750.00000 7803010.00000 -194.0042
664750.00000 7803030.00000 -194.0622
664750.00000 7803050.00000 -194.2411
664750.00000 7803070.00000 -194.2422
664750.00000 7803090.00000 -194.2448
664750.00000 7803110.00000 -194.2488
664750.00000 7803130.00000 -194.4326
664750.00000 7803150.00000 -194.6297
664750.00000 7803170.00000 -194.6360
664750.00000 7803190.00000 -194.7437
664750.00000 7803210.00000 -194.8553
664750.00000 7803230.00000 -194.9612
664750.00000 7803250.00000 -195.0605
664750.00000 7803270.00000 -195.1632
664750.00000 7803290.00000 -195.2561
664750.00000 7803310.00000 -195.3587
664750.00000 7803330.00000 -195.4831
664750.00000 7803350.00000 -195.6014
664750.00000 7803370.00000 -195.8681
664750.00000 7803390.00000 -195.8670
664750.00000 7803410.00000 -195.9744
664750.00000 7803430.00000 -196.0856
664750.00000 7803450.00000 -196.1927
664750.00000 7803470.00000 -196.3211
664750.00000 7803490.00000 -196.4619
664750.00000 7803510.00000 -196.5997
664750.00000 7803530.00000 -196.7401
664750.00000 7803550.00000 -196.8578
664750.00000 7803570.00000 -196.9588
664750.00000 7803590.00000 -197.0691
664750.00000 7803610.00000 -197.1839
664750.00000 7803630.00000 -197.3010
664750.00000 7803650.00000 -197.4263
664750.00000 7803670.00000 -197.5553
664750.00000 7803690.00000 -197.6902
664750.00000 7803710.00000 -197.8291
664750.00000 7803730.00000 -198.0924
664750.00000 7803750.00000 -198.0950
664750.00000 7803770.00000 -198.1008
664750.00000 7803790.00000 -198.4024
664750.00000 7803810.00000 -198.5544
664750.00000 7803830.00000 -198.7181
664750.00000 7803850.00000 -198.8802
664750.00000 7803870.00000 -199.3553
664750.00000 7803890.00000 -199.3545
664750.00000 7803910.00000 -199.3515
664750.00000 7803930.00000 -199.4901
664750.00000 7803950.00000 -199.6261
664750.00000 7803970.00000 -199.7664
664750.00000 7803990.00000 -199.9107
664750.00000 7804010.00000 -200.0587
664750.00000 7804030.00000 -200.2070
664750.00000 7804050.00000 -200.3513
664750.00000 7804070.00000 -200.4973
664750.00000 7804090.00000 -200.6490
664750.00000 7804110.00000 -200.8093
664750.00000 7804130.00000 -200.9627
664750.00000 7804150.00000 -201.1091
664750.00000 7804170.00000 -201.6922
664750.00000 7804190.00000 -201.6882
664750.00000 7804210.00000 -201.6838
664750.00000 7804230.00000 -201.6735
664750.00000 7804250.00000 -201.9446
664750.00000 7804270.00000 -201.9343
664750.00000 7804290.00000 -202.0802
664750.00000 7804310.00000 -202.2305
664750.00000 7804330.00000 -202.3814
