ANTENNA "BRUC0020"
LOCATION 671345.075 7803200.709 1098.000
FREQUENCY 2600.00000000
POWER 0.126 W EIRP
ANTENNA_TYPE ISO
LOWER_LEFT 668195.61120000 7802110.33140000
UPPER_RIGHT 671915.61120000 7804350.33140000
HEIGHT 5.00000000
RESOLUTION 20.00000000
RECEIVER_GAIN 0.00000000
               
BEGIN_DATA
668225.61120 7804060.33140 -156.11184
668225.61120 7804080.33140 -156.23009
668225.61120 7804100.33140 -156.32197
668225.61120 7804120.33140 -156.36887
668225.61120 7804140.33140 -156.34708
668225.61120 7804160.33140 -156.18977
668225.61120 7804180.33140 -156.26804
668225.61120 7804200.33140 -156.25009
668225.61120 7804220.33140 -156.28420
668225.61120 7804240.33140 -156.31997
668225.61120 7804260.33140 -156.27463
668225.61120 7804280.33140 -156.37729
668225.61120 7804300.33140 -156.25176
668225.61120 7804320.33140 -156.30970
668225.61120 7804340.33140 -156.09986
668225.61120 7804360.33140 -156.09362
668245.61120 7802120.33140 -154.65634
668245.61120 7802140.33140 -154.43040
668245.61120 7802160.33140 -154.75294
668245.61120 7802180.33140 -155.84753
668245.61120 7802200.33140 -156.20195
668245.61120 7802220.33140 -156.72773
668245.61120 7802240.33140 -156.53164
668245.61120 7802260.33140 -156.47423
668245.61120 7802280.33140 -157.14483
668245.61120 7802300.33140 -156.77188
668245.61120 7802320.33140 -156.63341
668245.61120 7802340.33140 -155.13420
668245.61120 7802360.33140 -152.60970
668245.61120 7802380.33140 -151.89380
668245.61120 7802400.33140 -153.86202
668245.61120 7802420.33140 -155.85390
668245.61120 7802440.33140 -156.86980
668245.61120 7802460.33140 -157.22467
668245.61120 7802480.33140 -156.98837
668245.61120 7802500.33140 -156.70965
668245.61120 7802520.33140 -156.67702
668245.61120 7802540.33140 -157.03927
668245.61120 7802560.33140 -157.32861
668245.61120 7802580.33140 -156.56823
668245.61120 7802600.33140 -155.71176
668245.61120 7802620.33140 -157.30754
668245.61120 7802640.33140 -158.25883
668245.61120 7802660.33140 -158.36907
668245.61120 7802680.33140 -157.60275
668245.61120 7802700.33140 -156.02403
668245.61120 7802720.33140 -153.82678
668245.61120 7802740.33140 -154.40303
668245.61120 7802760.33140 -156.46636
668245.61120 7802780.33140 -157.77002
668245.61120 7802800.33140 -158.62469
668245.61120 7802820.33140 -159.34279
668245.61120 7802840.33140 -159.66307
668245.61120 7802860.33140 -159.42469
668245.61120 7802880.33140 -158.59996
668245.61120 7802900.33140 -157.54976
668245.61120 7802920.33140 -156.33985
668245.61120 7802940.33140 -154.26301
668245.61120 7802960.33140 -149.58455
668245.61120 7802980.33140 -148.94360
668245.61120 7803000.33140 -148.83228
668245.61120 7803020.33140 -148.66523
668245.61120 7803040.33140 -153.13313
668245.61120 7803060.33140 -155.16938
668245.61120 7803080.33140 -156.37337
668245.61120 7803100.33140 -157.00753
668245.61120 7803120.33140 -156.76065
668245.61120 7803140.33140 -156.00591
668245.61120 7803160.33140 -155.73548
