ANTENNA "BRCU0011"
LOCATION 669238.830 7803099.253 1098.000
FREQUENCY 2600.00000000
POWER 39.811 W EIRP
ANTENNA_TYPE ISO
LOWER_LEFT 668195.61120000 7802110.33140000
UPPER_RIGHT 671915.61120000 7804350.33140000
HEIGHT 43.00000000
RESOLUTION 20.00000000
RECEIVER_GAIN 0.00000000
               
BEGIN_DATA
668225.61120 7804060.33140 -148.81153
668225.61120 7804080.33140 -149.02378
668225.61120 7804100.33140 -149.10472
668225.61120 7804120.33140 -149.17617
668225.61120 7804140.33140 -149.24734
668225.61120 7804160.33140 -149.28198
668225.61120 7804180.33140 -149.35193
668225.61120 7804200.33140 -149.44142
668225.61120 7804220.33140 -149.53252
668225.61120 7804240.33140 -149.60861
668225.61120 7804260.33140 -149.69765
668225.61120 7804280.33140 -149.80632
668225.61120 7804300.33140 -149.89839
668225.61120 7804320.33140 -149.88763
668225.61120 7804340.33140 -149.79892
668225.61120 7804360.33140 -149.72124
668245.61120 7802120.33140 -127.40431
668245.61120 7802140.33140 -134.86628
668245.61120 7802160.33140 -137.46775
668245.61120 7802180.33140 -133.41657
668245.61120 7802200.33140 -109.59664
668245.61120 7802220.33140 -109.53535
668245.61120 7802240.33140 -109.45049
668245.61120 7802260.33140 -109.37564
668245.61120 7802280.33140 -109.31025
668245.61120 7802300.33140 -109.20427
668245.61120 7802320.33140 -109.07252
668245.61120 7802340.33140 -108.92960
668245.61120 7802360.33140 -108.78496
668245.61120 7802380.33140 -108.69326
668245.61120 7802400.33140 -108.64154
668245.61120 7802420.33140 -108.58517
668245.61120 7802440.33140 -108.53824
668245.61120 7802460.33140 -108.45921
668245.61120 7802480.33140 -108.36047
668245.61120 7802500.33140 -108.26453
668245.61120 7802520.33140 -108.17383
668245.61120 7802540.33140 -108.07098
668245.61120 7802560.33140 -107.96370
668245.61120 7802580.33140 -107.81778
668245.61120 7802600.33140 -115.16309
668245.61120 7802620.33140 -107.69477
668245.61120 7802640.33140 -107.69662
668245.61120 7802660.33140 -107.63149
668245.61120 7802680.33140 -107.51145
668245.61120 7802700.33140 -107.36769
668245.61120 7802720.33140 -134.23352
668245.61120 7802740.33140 -136.31695
668245.61120 7802760.33140 -135.02607
668245.61120 7802780.33140 -138.18890
668245.61120 7802800.33140 -134.33613
668245.61120 7802820.33140 -107.16136
668245.61120 7802840.33140 -107.16191
668245.61120 7802860.33140 -107.08381
668245.61120 7802880.33140 -106.94767
668245.61120 7802900.33140 -106.81743
668245.61120 7802920.33140 -106.70249
668245.61120 7802940.33140 -127.21773
668245.61120 7802960.33140 -139.12077
668245.61120 7802980.33140 -144.33510
668245.61120 7803000.33140 -145.20850
668245.61120 7803020.33140 -145.13637
668245.61120 7803040.33140 -145.50676
668245.61120 7803060.33140 -145.38634
668245.61120 7803080.33140 -144.20609
668245.61120 7803100.33140 -143.01828
668245.61120 7803120.33140 -143.16122
668245.61120 7803140.33140 -143.18863
668245.61120 7803160.33140 -141.40745
