ANTENNA "BRUC0020"
LOCATION 671354.380 7803206.720 5.000
FREQUENCY 2600.000
POWER 0.200 W  EIRP
ANTENNATYPE ISO
LOWER_LEFT 664740.00000000 7799900.00000000
UPPER_RIGHT 672760.00000000 7805400.00000000
HEIGHT 1.500 
RESOLUTION 20.00000000
RECEIVER_GAIN 0.000

BEGIN_DATA
664750.00000 7803670.00000 -232.3641
664750.00000 7803690.00000 -232.1070
664750.00000 7803710.00000 -232.1043
664750.00000 7803730.00000 -232.1034
664750.00000 7803750.00000 -231.8038
664750.00000 7803770.00000 -231.8057
664750.00000 7803790.00000 -231.6015
664750.00000 7803810.00000 -231.6081
664750.00000 7803830.00000 -231.6212
664750.00000 7803850.00000 -231.6338
664750.00000 7803870.00000 -231.2279
664750.00000 7803890.00000 -231.2251
664750.00000 7803910.00000 -231.0002
664750.00000 7803930.00000 -230.9904
664750.00000 7803950.00000 -230.7754
664750.00000 7803970.00000 -230.7726
664750.00000 7803990.00000 -230.5631
664750.00000 7804010.00000 -230.5603
664750.00000 7804030.00000 -230.3516
664750.00000 7804050.00000 -230.3488
664750.00000 7804070.00000 -230.1598
664750.00000 7804090.00000 -230.1640
664750.00000 7804110.00000 -230.1701
664750.00000 7804130.00000 -230.1710
664750.00000 7804150.00000 -233.7313
664750.00000 7804170.00000 -234.2670
664750.00000 7804190.00000 -234.2619
664750.00000 7804210.00000 -234.2563
664750.00000 7804230.00000 -229.3070
664750.00000 7804250.00000 -229.2879
664750.00000 7804270.00000 -229.0848
664750.00000 7804290.00000 -229.0773
664750.00000 7804310.00000 -228.8928
664750.00000 7804330.00000 -228.8901
664750.00000 7804350.00000 -228.7112
664750.00000 7804370.00000 -228.7084
664750.00000 7804390.00000 -228.5358
664750.00000 7804410.00000 -228.5331
664750.00000 7804430.00000 -228.3611
664750.00000 7804450.00000 -228.3583
664750.00000 7804470.00000 -228.1887
664750.00000 7804490.00000 -228.1860
664750.00000 7804510.00000 -228.0236
664750.00000 7804530.00000 -228.0208
664750.00000 7804550.00000 -227.8608
664750.00000 7804570.00000 -227.8581
664750.00000 7804590.00000 -227.6982
664750.00000 7804610.00000 -227.6932
664750.00000 7804630.00000 -227.5235
664750.00000 7804650.00000 -227.5138
664750.00000 7804670.00000 -227.3657
664750.00000 7804690.00000 -227.3630
664750.00000 7804710.00000 -227.2313
664750.00000 7804730.00000 -227.2285
664750.00000 7804750.00000 -227.2346
664750.00000 7804770.00000 -227.2518
664750.00000 7804790.00000 -237.4739
664750.00000 7804810.00000 -234.7818
664750.00000 7804830.00000 -234.7768
664750.00000 7804850.00000 -234.7782
664750.00000 7804870.00000 -234.7884
664750.00000 7804890.00000 -235.2180
664750.00000 7804910.00000 -235.5060
664750.00000 7804930.00000 -237.0986
664750.00000 7804950.00000 -237.1004
664750.00000 7804970.00000 -236.8721
664750.00000 7804990.00000 -236.5605
664750.00000 7805010.00000 -238.4423
664750.00000 7805030.00000 -240.7740
664750.00000 7805050.00000 -242.1023
664750.00000 7805070.00000 -242.1019
664750.00000 7805090.00000 -236.8294
664750.00000 7805110.00000 -236.8244
664770.00000 7799910.00000 -171.0769
